time,open,close,high,low
2020-01-17 06:55:00,1.11392,1.11398,1.11406,1.11387
2020-01-17 07:00:00,1.11398,1.11409,1.11411,1.11388
2020-01-17 07:05:00,1.11410,1.11405,1.11413,1.11396
2020-01-17 07:10:00,1.11406,1.11397,1.11412,1.11386
2020-01-17 07:15:00,1.11396,1.11393,1.11398,1.11392
2020-01-17 07:20:00,1.11393,1.11389,1.11394,1.11380
2020-01-17 07:25:00,1.11388,1.11369,1.11390,1.11366
2020-01-17 07:30:00,1.11368,1.11371,1.11379,1.11367
2020-01-17 07:35:00,1.11372,1.11371,1.11379,1.11366
2020-01-17 07:40:00,1.11371,1.11393,1.11394,1.11360
2020-01-17 07:45:00,1.11393,1.11373,1.11395,1.11367
2020-01-17 07:50:00,1.11374,1.11361,1.11378,1.11355
2020-01-17 07:55:00,1.11360,1.11365,1.11377,1.11351
2020-01-17 08:00:00,1.11366,1.11357,1.11367,1.11343
2020-01-17 08:05:00,1.11356,1.11359,1.11361,1.11343
2020-01-17 08:10:00,1.11358,1.11384,1.11389,1.11358
2020-01-17 08:15:00,1.11384,1.11381,1.11386,1.11366
2020-01-17 08:20:00,1.11381,1.11383,1.11398,1.11380
2020-01-17 08:25:00,1.11383,1.11350,1.11385,1.11347
2020-01-17 08:30:00,1.11349,1.11350,1.11364,1.11347
2020-01-17 08:35:00,1.11351,1.11355,1.11372,1.11351
2020-01-17 08:40:00,1.11356,1.11368,1.11370,1.11356
2020-01-17 08:45:00,1.11368,1.11357,1.11385,1.11356
2020-01-17 08:50:00,1.11356,1.11355,1.11368,1.11347
2020-01-17 08:55:00,1.11356,1.11358,1.11364,1.11341
2020-01-17 09:00:00,1.11359,1.11366,1.11367,1.11342
2020-01-17 09:05:00,1.11367,1.11364,1.11372,1.11355
2020-01-17 09:10:00,1.11365,1.11352,1.11366,1.11351
2020-01-17 09:15:00,1.11351,1.11347,1.11378,1.11347
2020-01-17 09:20:00,1.11347,1.11319,1.11352,1.11312
2020-01-17 09:25:00,1.11320,1.11324,1.11334,1.11315
2020-01-17 09:30:00,1.11323,1.11283,1.11324,1.11265
2020-01-17 09:35:00,1.11285,1.11269,1.11298,1.11257
2020-01-17 09:40:00,1.11268,1.11278,1.11300,1.11266
2020-01-17 09:45:00,1.11278,1.11252,1.11278,1.11250
2020-01-17 09:50:00,1.11252,1.11262,1.11277,1.11249
2020-01-17 09:55:00,1.11263,1.11279,1.11288,1.11261
2020-01-17 10:00:00,1.11279,1.11267,1.11284,1.11263
2020-01-17 10:05:00,1.11265,1.11266,1.11272,1.11247
2020-01-17 10:10:00,1.11264,1.11253,1.11273,1.11253
2020-01-17 10:15:00,1.11251,1.11257,1.11265,1.11245
2020-01-17 10:20:00,1.11257,1.11251,1.11267,1.11250
2020-01-17 10:25:00,1.11251,1.11205,1.11251,1.11202
2020-01-17 10:30:00,1.11205,1.11228,1.11229,1.11198
2020-01-17 10:35:00,1.11227,1.11208,1.11229,1.11190
2020-01-17 10:40:00,1.11209,1.11205,1.11217,1.11200
2020-01-17 10:45:00,1.11205,1.11188,1.11218,1.11177
2020-01-17 10:50:00,1.11187,1.11204,1.11212,1.11187
2020-01-17 10:55:00,1.11204,1.11163,1.11204,1.11160
2020-01-17 11:00:00,1.11159,1.11119,1.11159,1.11110
2020-01-17 11:05:00,1.11119,1.11119,1.11133,1.11101
2020-01-17 11:10:00,1.11119,1.11085,1.11122,1.11084
2020-01-17 11:15:00,1.11085,1.11112,1.11114,1.11065
2020-01-17 11:20:00,1.11111,1.11078,1.11111,1.11075
2020-01-17 11:25:00,1.11079,1.11104,1.11110,1.11072
2020-01-17 11:30:00,1.11105,1.11115,1.11124,1.11101
2020-01-17 11:35:00,1.11114,1.11093,1.11134,1.11093
2020-01-17 11:40:00,1.11093,1.11084,1.11098,1.11081
2020-01-17 11:45:00,1.11084,1.11100,1.11104,1.11080
2020-01-17 11:50:00,1.11100,1.11096,1.11114,1.11081
2020-01-17 11:55:00,1.11096,1.11125,1.11128,1.11096
2020-01-17 12:00:00,1.11125,1.11124,1.11134,1.11113
2020-01-17 12:05:00,1.11124,1.11138,1.11138,1.11123
2020-01-17 12:10:00,1.11138,1.11129,1.11149,1.11128
2020-01-17 12:15:00,1.11130,1.11108,1.11132,1.11107
2020-01-17 12:20:00,1.11108,1.11114,1.11117,1.11102
2020-01-17 12:25:00,1.11113,1.11120,1.11126,1.11109
2020-01-17 12:30:00,1.11119,1.11122,1.11129,1.11104
2020-01-17 12:35:00,1.11122,1.11098,1.11125,1.11089
2020-01-17 12:40:00,1.11096,1.11107,1.11136,1.11093
2020-01-17 12:45:00,1.11107,1.11083,1.11108,1.11061
2020-01-17 12:50:00,1.11083,1.11106,1.11118,1.11083
2020-01-17 12:55:00,1.11107,1.11099,1.11121,1.11085
2020-01-17 13:00:00,1.11099,1.11105,1.11121,1.11090
2020-01-17 13:05:00,1.11105,1.11109,1.11120,1.11104
2020-01-17 13:10:00,1.11109,1.11076,1.11111,1.11076
2020-01-17 13:15:00,1.11076,1.11078,1.11081,1.11065
2020-01-17 13:20:00,1.11078,1.11059,1.11082,1.11029
2020-01-17 13:25:00,1.11059,1.11064,1.11071,1.11055
2020-01-17 13:30:00,1.11064,1.11017,1.11064,1.11017
2020-01-17 13:35:00,1.11018,1.11028,1.11046,1.11008
2020-01-17 13:40:00,1.11026,1.11009,1.11027,1.11008
2020-01-17 13:45:00,1.11010,1.11027,1.11038,1.10981
2020-01-17 13:50:00,1.11029,1.11022,1.11037,1.10991
2020-01-17 13:55:00,1.11022,1.11005,1.11036,1.11004
2020-01-17 14:00:00,1.11007,1.10992,1.11009,1.10974
2020-01-17 14:05:00,1.10993,1.11000,1.11002,1.10959
2020-01-17 14:10:00,1.11000,1.11025,1.11033,1.10995
2020-01-17 14:15:00,1.11025,1.11050,1.11050,1.11009
2020-01-17 14:20:00,1.11050,1.11025,1.11062,1.11025
2020-01-17 14:25:00,1.11024,1.11008,1.11032,1.10992
2020-01-17 14:30:00,1.11008,1.10990,1.11023,1.10989
2020-01-17 14:35:00,1.10990,1.11015,1.11019,1.10981
2020-01-17 14:40:00,1.11015,1.11007,1.11031,1.11002
2020-01-17 14:45:00,1.11006,1.10982,1.11020,1.10981
2020-01-17 14:50:00,1.10982,1.10987,1.11016,1.10982
2020-01-17 14:55:00,1.10988,1.11008,1.11009,1.10981
