entry_time,exit_time,dir,entry,exit,sl,tp,points,pnl,reason,r_mult,hour,dow,run,risk_pct,dist_module_pct,dist_level_pct,vol_pct,above_ma,equity
2014-04-02 10:05:00-04:00,2014-04-02 10:09:00-04:00,-1,3659.705,3664.06,3664.06,3646.64,-4.855000000000018,-10.950000000000037,SL,-1.115,10,2,5,0.119,2.1901,1.8724,0.0655,0,-5609.2651459996705
2014-04-02 10:44:00-04:00,2014-04-02 11:01:00-04:00,-1,3663.051,3666.33,3666.33,3653.214,-3.7789999999999964,-8.797999999999993,SL,-1.152,10,2,4,0.0895,2.0967,1.9621,0.0735,0,-5618.06314599967
2014-04-02 11:18:00-04:00,2014-04-02 12:08:00-04:00,1,3659.813,3657.38,3657.38,3667.112,-2.9329999999999927,-7.105999999999986,SL,-1.206,11,2,7,0.0665,33.7846,0.2152,0.0505,0,-5625.16914599967
2014-04-02 12:19:00-04:00,2014-04-02 12:35:00-04:00,-1,3661.704,3664.124,3664.124,3654.4440000000013,-2.919999999999618,-7.079999999999236,SL,-1.207,12,2,5,0.0661,2.1343,1.926,0.0376,0,-5632.249145999669
2014-04-02 12:48:00-04:00,2014-04-02 12:50:00-04:00,1,3663.633,3662.289,3662.289,3667.6649999999986,-1.8439999999995962,-4.927999999999193,SL,-1.372,12,2,5,0.0367,33.8536,0.1107,0.0345,1,-5637.177145999668
2014-04-02 13:25:00-04:00,2014-04-02 13:28:00-04:00,1,3655.4,3653.63,3653.63,3660.71,-2.269999999999982,-5.779999999999964,SL,-1.282,13,2,6,0.0484,33.7047,0.3362,0.0305,0,-5642.957145999668
2014-04-03 09:36:00-04:00,2014-04-03 10:26:00-04:00,1,3664.005,3659.469,3659.469,3677.6130000000003,-5.036000000000058,-11.312000000000117,SL,-1.11,9,3,6,0.1238,33.8604,0.2966,0.0453,0,-5654.269145999668
2014-04-03 10:48:00-04:00,2014-04-03 10:58:00-04:00,-1,3656.319,3659.477,3659.477,3646.8450000000003,-3.6579999999999018,-8.555999999999804,SL,-1.158,10,3,3,0.0864,2.2847,0.1861,0.0654,0,-5662.825145999667
2014-04-03 11:17:00-04:00,2014-04-03 11:24:00-04:00,1,3658.366,3654.956,3654.956,3668.5959999999995,-3.9099999999998545,-9.05999999999971,SL,-1.147,11,3,5,0.0932,33.7584,0.4512,0.0568,0,-5671.885145999667
2014-04-03 11:34:00-04:00,2014-04-03 12:09:00-04:00,1,3649.425,3645.107,3645.107,3662.379000000001,-4.818000000000211,-10.876000000000422,SL,-1.116,11,3,8,0.1183,33.5961,0.6973,0.0568,0,-5682.761145999667
2014-04-03 12:29:00-04:00,2014-04-03 12:31:00-04:00,1,3639.485,3637.359,3637.359,3645.8630000000007,-2.6260000000002037,-6.492000000000408,SL,-1.235,12,3,4,0.0584,33.4148,0.9724,0.0455,0,-5689.253145999667
2014-04-03 12:36:00-04:00,2014-04-03 12:39:00-04:00,1,3634.0,3630.97,3630.97,3643.0900000000006,-3.5300000000002,-8.3000000000004,SL,-1.165,12,3,4,0.0834,33.3143,1.1248,0.0445,0,-5697.553145999667
2014-04-03 12:48:00-04:00,2014-04-03 12:53:00-04:00,-1,3631.353,3633.455,3633.455,3625.0470000000005,-2.6019999999998618,-6.443999999999724,SL,-1.238,12,3,3,0.0579,2.9879,0.5001,0.0443,0,-5703.997145999667
2014-04-03 13:03:00-04:00,2014-04-03 13:13:00-04:00,-1,3631.643,3635.62,3635.62,3619.7120000000004,-4.476999999999862,-10.193999999999724,SL,-1.126,13,3,3,0.1095,2.9797,0.4921,0.045,0,-5714.191145999666
2014-04-04 09:31:00-04:00,2014-04-04 09:43:00-04:00,-1,3655.998,3630.981,3664.337,3630.981,24.516999999999825,47.79399999999965,TP,2.94,9,4,3,0.2281,2.2937,1.1038,0.0495,1,-5666.3971459996665
2014-04-04 09:53:00-04:00,2014-04-04 09:58:00-04:00,-1,3613.848,3621.042,3621.042,3592.266,-7.69399999999996,-16.62799999999992,SL,-1.07,9,4,3,0.1991,3.4868,0.0497,0.0735,0,-5683.025145999666
2014-04-04 10:11:00-04:00,2014-04-04 10:21:00-04:00,-1,3634.789,3616.981000000001,3640.725,3616.981000000001,17.307999999999083,33.375999999998164,TP,2.916,10,4,4,0.1633,2.8906,0.5267,0.1068,0,-5649.649145999668
